tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,month,year
349,09:45.6,15:35.3,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,42581,Customer,1969,0,5,2020
138,11:22.5,13:41.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42105,Subscriber,1949,1,5,2020
229,31:29.5,35:19.2,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958612,-74.04311746,42320,Customer,1984,1,5,2020
261,51:39.4,56:00.9,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,42170,Subscriber,1974,2,5,2020
168,06:32.0,09:20.1,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42352,Subscriber,1966,1,5,2020
500,17:58.4,26:19.1,3209,Brunswick St,40.7241765,-74.0506564,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42208,Subscriber,1982,1,5,2020
237,33:42.0,37:39.5,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42507,Subscriber,1981,1,5,2020
144,36:48.0,39:12.5,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42132,Subscriber,1970,1,5,2020
2295,38:16.9,16:32.0,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42400,Subscriber,1959,1,5,2020
88,41:03.8,42:32.8,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,42114,Subscriber,1993,1,5,2020
327,42:31.7,47:58.8,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42121,Subscriber,1982,1,5,2020
388,44:49.9,51:18.2,3203,Hamilton Park,40.72759597,-74.04424731,3185,City Hall,40.7177325,-74.043845,42422,Subscriber,1988,2,5,2020
280,01:10.0,05:50.6,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,42536,Subscriber,1962,2,5,2020
