tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
146,02:50.1,05:16.2,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,42308,Subscriber,1989,2
572,11:57.4,21:30.3,3640,Journal Square,40.73367,-74.0625,3280,Astor Place,40.7192822,-74.07126188,18568,Subscriber,1997,2
387,14:49.4,21:16.9,3640,Journal Square,40.73367,-74.0625,3194,McGinley Square,40.72533993,-74.06762213,44543,Subscriber,1960,1
188,45:06.4,48:14.4,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,43098,Subscriber,1998,1
594,17:17.0,27:11.9,3212,Christ Hospital,40.73478582,-74.05044364,3209,Brunswick St,40.7241765,-74.0506564,44723,Subscriber,1988,1
269,52:22.5,56:52.2,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,44543,Customer,1969,0
4990,56:45.0,19:55.2,3184,Paulus Hook,40.7141454,-74.0335519,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,45347,Customer,1996,2
4947,57:31.4,19:58.8,3184,Paulus Hook,40.7141454,-74.0335519,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44555,Customer,2000,1
213,51:25.2,54:58.9,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42230,Subscriber,1980,1
306,20:26.4,25:32.6,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,44937,Subscriber,1981,1
327,25:51.8,31:19.1,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,45764,Subscriber,1980,1
218,31:35.5,35:13.8,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,46537,Subscriber,1981,1
1357,40:25.9,03:03.0,3678,Fairmount Ave,40.72572614,-74.07195926,3639,Harborside,40.7192517,-74.034234,41724,Customer,1969,0
614,45:11.7,55:26.5,3678,Fairmount Ave,40.72572614,-74.07195926,3186,Grove St PATH,40.71958612,-74.04311746,46290,Subscriber,1996,1
375,54:55.5,01:11.3,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,48742,Customer,1969,0
324,55:07.1,00:32.0,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42133,Subscriber,1987,1
239,57:03.0,01:03.0,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,14639,Subscriber,1983,2
329,01:54.9,07:24.8,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42492,Subscriber,1996,1
250,07:03.5,11:13.8,3206,Hilltop,40.7311689,-74.0575736,3195,Sip Ave,40.7308971,-74.06391263,44400,Subscriber,1968,1
300,14:17.8,19:18.5,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42230,Subscriber,1980,1
373,14:57.0,21:11.0,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,42308,Subscriber,1985,2
784,15:43.4,28:47.8,3184,Paulus Hook,40.7141454,-74.0335519,3269,Brunswick & 6th,40.72601173,-74.05038893,42423,Subscriber,1990,1
134,15:49.6,18:04.6,3270,Jersey & 6th St,40.72528911,-74.04557168,3269,Brunswick & 6th,40.72601173,-74.05038893,44364,Subscriber,1964,1
